gene_name	SRR13389805	SRR13389807	SRR13389809	SRR13389815	SRR13389817	SRR13389818	SRR13389820	SRR13389824	SRR13389834	SRR13389840	SRR13389841	SRR13389849
CCDC158	10.9651277898971	11.0656853461976	11.6437248784721	10.5410738493277	11.417479361144	8.55775149425346	11.9211191549388	11.6874004800677	11.3406674416524	11.2422410331119	8.14261089373142	11.6419192603032
SCARB2	8.86266922637093	8.77505443254877	8.24481827505272	9.21194465609319	7.91858285155542	11.0319059961368	7.31131413282743	8.84399719891865	9.71516374540787	9.59895563445802	11.0396025240246	7.63792975278797
NUP54	9.0184013879544	9.02398286235632	7.8100228718678	8.30821247010556	8.36688078651368	10.2532938598595	7.43088150940241	8.44922936839981	9.4530907451959	9.41563914703436	10.4091849511569	8.65383022164706
CXCL10	0	0	0	0	0	3.23962858422423	0	0	0	0	3.7330164492932	1.66261696408209
ART3	11.0975918747519	11.4117331430793	10.5756392730123	10.6022626935892	10.7886053600523	6.96750279503136	10.3374106952382	10.5722836546198	11.8695839293746	11.4332477675211	5.90749279233564	11.2691052218764
NAAA	2.41936284992316	2.42984765420138	3.54874447548838	2.39147576211092	3.14684452880142	2.38481092773071	0	0	1.48623905696347	2.03927274223659	0	2.90644971981469
PPEF2	3.89897362919725	3.28935209262358	4.72347283234837	4.63127038635379	4.06301312588923	0	3.40692744600436	4.03748934791979	2.86898674959003	4.69393639681781	0	5.28182059833608
SDAD1	11.1349028458134	11.3245647984144	11.1209631589066	10.66549557376	11.3272264576127	10.018567396934	10.7521693989827	11.0150662183328	11.6380234209718	11.3833066295906	9.87158645212584	11.493763718098
USO1	12.3224694025991	12.3485222516694	12.7420142143412	11.7223868438408	12.6696514184181	10.8398580193017	12.343067229423	12.4354811591345	12.360792986098	12.1787419936686	12.3913186601411	12.6810043172478
G3BP2	10.8440499814694	10.8314431055028	10.7119066062717	10.129917760371	10.8006595281903	11.0072558217303	10.5129820191865	10.651876099327	11.3704238850419	11.2945383189099	11.7779788568217	10.8580554222032
CDKL2	11.4906795528605	11.3383229216182	11.4441477333371	10.2332995423208	11.8560214064709	10.3205811983571	11.1826989814545	11.4397517125619	11.2341033492277	11.2860275749052	11.0183774630565	11.7983681961368
RCHY1	10.5471891153218	10.3845877699852	10.1456635034992	8.70459510887184	10.4344828418875	10.0985355595649	9.6872815885578	10.4503767347674	10.2449122714486	10.1957864414427	9.59248453441716	10.4435574966932
THAP6	10.6608490995749	10.7492318770553	11.182878255084	10.0753091747731	10.9308816472541	9.33214355790435	10.8962609517011	10.794819034874	10.1266756110828	10.1080417609677	9.44247500965688	10.7935012167919
C33H3orf38	10.9676366621997	11.0212937998587	11.0849870894811	9.80776472024439	11.2177881789026	8.91406823813262	11.0803453210147	10.7299284549961	10.5244322790822	10.709416371159	9.11147518313658	11.0210499120102
EPHA3	9.57060717870717	10.1793224816512	10.0847627168355	8.6230271959361	10.1987019171948	6.34398226444142	10.4321710945605	10.3043648997246	8.12123734181643	8.97312108886554	6.04818152069595	9.29468705095753
PROS1	11.4342032949081	11.6243898667134	11.00553992258	10.6924042554825	11.2527909737862	9.32075655885383	10.6162410313151	11.2340787574693	11.6892945907689	11.5470924377256	5.90749279233564	11.1127995918461
STX19	3.98073646518429	3.82426845673434	4.3969254196068	3.37061958632573	4.06301312588923	5.37637528728582	2.35536339779937	2.35397959512271	4.44082821766262	5.03920084040186	2.83762898190778	4.75439763185274
ARL13B	8.96666423522661	9.55514152694721	8.63296752263004	8.4793494535961	8.67181134147498	9.47253403043041	8.51594089971582	8.18447332912027	9.00940927860683	8.26019085609171	8.89005169605078	8.68832561666113
NSUN3	8.22576280580424	8.14329673006256	8.48998297565329	8.16613106919347	8.50155641240656	7.07080840527818	8.42669495922324	8.32059839404534	8.514987412234	8.27837085836165	6.99613923112553	8.39073639005456
OR5AC26	7.20953072296393	7.25585417436998	7.13064736165797	4.41854772573248	6.53398207396726	0	7.20797004313238	7.21959163519408	5.27921547370573	6.11745444715951	0	7.02093791356385
CPOX	7.67015754181349	7.44939022970853	7.66540434506658	8.24902514933247	7.37504295018875	8.73406302730011	7.23450832512974	7.64708255411811	8.22911563224086	8.32109033245481	9.35848415820356	7.92183000604346
GPR15	6.8339403651645	6.98307622116404	7.71217403306213	5.65146740373784	7.44898835110955	2.13033908167249	7.0375907241382	6.94651651096706	4.85421716533751	5.87140212389897	3.2642090889913	6.72855028464528
CLDND1	11.1998300427601	11.267668012885	11.1861952782393	10.8460964609714	11.0130159715608	11.0527045915642	11.1664235805058	11.1928556072392	11.4015018487604	11.297661243303	10.5352796331221	11.544335175821
OR5K1	5.26319918212605	4.07022744459422	7.39426129296264	4.58095741018174	6.1105178702201	0.883269621705356	6.73708640228163	5.6830221886644	4.24912432411844	4.73664046716699	0	6.89532325824559
EPHA6	10.7553555632967	10.9430590712281	10.8204854713232	9.49781087433591	10.9100870454666	7.84998582912626	10.8422817232576	10.7429690872062	10.2222450641403	10.2091158551948	7.72299013726265	10.612743915089
ARL6	10.0145852976896	10.1439480571993	10.035960207595	9.12463385559584	9.62289787267683	8.40077622415799	9.97187686709818	10.0427309449152	9.46233159348901	9.6954708809991	9.03236986063186	9.98521515447188
CRYBG3	12.4411819296496	12.3603702032298	12.6365448334039	11.937290400108	12.9209382288292	10.9529715906154	12.0555687023543	12.2263696804514	13.2119040447143	12.8865442829736	10.1387769775458	12.7707056877799
RIOX2	7.85496436799104	8.08852841939597	7.81859773557348	9.04335631947619	8.05270094992503	8.76520047632806	8.50508244031828	8.3481690525196	8.30092520782267	8.50525417640989	9.86017888148061	7.75103770533019
ST3GAL6	7.52099248098125	7.60707685969418	7.85239644107878	7.56006271147248	8.4805533342648	10.6617817734242	7.45365023679235	8.57900721406891	7.45740511480719	8.38624426692935	10.5352796331221	8.21259721943187
DCBLD2	9.95387820805051	10.3520185965296	8.55300481970255	10.1023145596599	8.73229211602435	8.25284674550631	9.13523688818267	9.54769484722642	10.8521526260457	10.3804842415494	7.84374564599757	9.94298341197246
FILIP1L	9.01112299355451	9.78349933880187	10.1642846974255	8.77342024501326	9.49258797144764	10.2271023232296	9.80705148329541	9.64908261861251	7.79827057119039	8.35574834088459	8.33618695481434	9.20752323579735
CMSS1	9.30299377773272	9.33166569681354	9.32901102241457	9.0980468877285	9.57910991613767	10.174302939648	9.45029755997313	9.29963331553223	9.50588192513396	9.40077925006496	9.35035342527379	9.50066571162937
TBC1D23	11.2408550732944	11.2717707488539	11.159443065386	9.84687999205444	11.1835404648196	9.87543617826686	10.8433597864969	11.1871418873687	11.0823466168777	11.1637312327774	9.9327649978056	10.9454230236013
NIT2	9.05661124531867	8.96439370906102	8.21914086916633	9.34979053376177	9.33184464766273	9.96471513422182	8.62527698661554	9.04830644061137	9.36517707118902	9.44329696574109	10.7420790300513	8.76933029447628
TMEM45A	7.90294320170684	8.49172597173224	8.73614567726442	7.07898594690816	9.05945530021326	7.81794646319022	8.65013205777201	8.59827052124621	6.46559050342647	7.27578878908729	5.24377021908812	8.21259721943187
TOMM70	11.2665525492273	11.3878332571952	11.7314805070844	10.9636626080312	11.4998098883302	10.6655374557999	11.4099834695058	11.3125681941531	11.5248247981994	11.5971976257236	11.1944839643472	11.7565341305993
LNP1	7.15773819692128	7.70741790245466	8.15287380493538	7.43817377841975	7.91858285155542	2.60105597053891	8.50508244031828	8.10589648244458	6.70861031965802	7.08240512746554	4.74542340330992	7.35264122265011
IMPG2	5.29551202305055	5.94390822167727	6.95511183028577	5.91784065979357	6.21594089174174	5.78270366179034	7.0674215243396	6.0393384847476	5.82906006454782	6.16513226415993	6.46447037763012	6.34231301518742
SENP7	7.67015754181349	7.63282393465978	7.13064736165797	7.01410451524229	7.41986340222988	8.58656255727254	7.05258322480098	7.01692147969777	8.13978659156836	8.53580238018659	8.13631951042336	7.66896943198957
ADGRG7	4.26807938916652	4.14370263192856	4.98957858691527	0	5.16674438737993	2.13033908167249	5.02526975602299	5.53093147545678	3.18699104945805	3.36892870726766	0	5.39753442563382
ABI3BP	7.33141839745189	6.60798176293782	7.47241627298327	6.82169956662025	7.57982825665392	11.7520884965884	7.11104214255172	7.46598996832416	7.08871682758317	6.8686590823052	8.72796420264955	7.54895782073673
TFG	10.661624054796	10.5524970824347	10.3649498303584	10.3057632708684	10.5414535985613	10.1358340373684	10.8476640015709	10.5347826131184	10.4594638982107	10.6160070456503	10.9616849069929	10.7506171637843
TRMT10C	10.0505302419187	10.0693076346649	10.8300591686905	8.72211164849189	10.5814582088042	8.87307866650472	10.1233418735285	10.1575619692447	9.10218607249579	9.37904107856342	8.42661323443164	10.0646834730815
PCNP	9.55066520535834	9.75300766913511	9.53556293239035	9.46177068301048	9.55587080551647	10.8123412828172	9.04065459482494	9.38640753754427	10.1814199917905	10.1412020173251	10.2507622490203	9.86638435778218
ZBTB11	9.62565695146486	9.81617176652531	9.81807940295621	9.48931118203848	9.94892693434632	9.52474514237258	9.83550237585773	9.7246550758926	9.98895238876037	10.1322336359182	9.77769574838825	9.82564306051306
CEP97	8.85997083200683	9.00439201825057	8.53750556932678	8.66287663672103	8.84340120444407	9.81314335741027	8.65505209700959	8.60970624157028	9.86761357531537	9.75120665524138	8.79340131504158	9.48548897095474
RPL24	12.0860491596299	12.3397552092351	12.5445614725447	13.1715206757937	12.2989752694748	14.034210866911	12.954496091757	12.316652415663	12.0214095401609	12.0383145913479	14.1692175698686	12.2732384303771
NFKBIZ	4.89266747420903	5.1023043884418	3.54874447548838	5.67564290004622	4.81062604991126	8.90900777917487	2.97490588527313	4.56180196410879	6.09927692005624	6.03431350044979	7.76437523759313	4.96913387450782
NXPE3	10.2686648044342	10.2713299445943	9.87878956968408	9.90043163753439	10.0112751711709	9.16815719463948	9.29506070964794	10.1997912278055	10.9019030364692	10.7240815142934	9.52184392637367	10.1007014543682
ZPLD1	4.20142911510897	4.07022744459422	4.79474035585456	3.24699722834574	5.05752247293931	6.60405361165545	4.00867638830559	5.28684447381348	4.10552651515657	4.73664046716699	7.11608520328028	4.10804523759092
ALCAM	4.84979025347007	5.48811818641866	5.21416083244705	6.41090707032664	5.05752247293931	11.4064931589638	6.09271715712628	5.24834227842715	5.52479777645649	6.48616583374268	12.0278343405427	4.91837134236126
CBLB	9.28097204396474	9.22144213049343	9.55621941447554	8.4793494535961	9.49956472674236	7.58397413811306	9.40720556451998	9.75415294219148	8.84392514245658	8.95515135378267	8.52621311013624	9.15641794855143
CCDC54	13.1449896689165	13.2535506464227	13.9173216553448	11.2209404268049	13.7858419466244	3.47697926807454	13.439300705947	13.5266602502742	11.1078910657273	11.4295920680337	6.3165090231103	13.4450343264722
BBX	11.8487702425562	11.9245662035793	12.0943977278725	11.2311717060778	11.8769345738721	10.8089493927576	11.9139535939226	11.6792826929519	12.145060713997	11.9697681790504	11.3520920736965	11.3956948561212
CD47	10.0902137269708	10.3117402683738	10.7096033562395	9.0686804415582	10.1825358352643	9.40404581752603	9.88868718438372	10.4619903815779	9.54293902624654	9.7486008326931	9.88478227248744	10.265887846616
IFT57	11.8764040842528	11.799424347566	12.5799824916689	11.1787453929167	11.8512568261657	9.39864032690167	12.3910399561738	12.3043889282027	10.7991672179974	10.9046314431331	11.2057944681868	11.78381954703
HHLA2	6.86656971110156	6.33750145145659	6.05642731607752	5.41345845428928	5.26827623106625	4.0180925891265	5.76881962521151	6.34323618718989	4.31589634214307	6.44812657338644	5.64925737252819	6.28335786935155
MYH15	5.93123371926626	5.24268894015181	5.87100382108859	5.76848658918767	5.2352199078755	3.68074213553849	4.52096063106934	5.46530237863804	7.2077807376982	6.47359719320673	3.06662848286667	5.86780812838454
C33H3orf85	4.56172971287452	3.0038512586004	2.94280734054372	3.11178060582062	3.90383734083181	0	2.97490588527313	4.73887763741953	3.85915717954471	3.36892870726766	0	0
DPPA4	2.99257911884102	1.8611689766732	3.17422625595395	0	2.99713776307343	0	2.97490588527313	2.61833415041864	2.67913786296648	2.03927274223659	0	0
MORC1	6.51517031364404	5.94390822167727	6.27156182402887	6.56121366114876	5.56285158035765	5.28557946424706	5.69430032371352	6.80777709247517	6.22621275469789	7.13921595262397	10.2867123808573	6.06738134212549
