NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_PRIMARY_IMMUNODEFICIENCY	35	26		
KEGG_PRION_DISEASES	35	28		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	77		
KEGG_PROPANOATE_METABOLISM	33	30		
KEGG_PROSTATE_CANCER	89	83		
KEGG_PROTEASOME	46	43		
KEGG_PROTEIN_EXPORT	24	21		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	20		
KEGG_PURINE_METABOLISM	159	139		
KEGG_PYRIMIDINE_METABOLISM	98	90		
KEGG_PYRUVATE_METABOLISM	40	36		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	191		
KEGG_REGULATION_OF_AUTOPHAGY	35	22		
KEGG_RENAL_CELL_CARCINOMA	70	68		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_RETINOL_METABOLISM	64	23		
KEGG_RIBOFLAVIN_METABOLISM	16		Rejected!	
KEGG_RIBOSOME	88	81		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	47		
KEGG_RNA_DEGRADATION	59	54		
KEGG_RNA_POLYMERASE	29	26		
KEGG_SELENOAMINO_ACID_METABOLISM	26	20		
KEGG_SMALL_CELL_LUNG_CANCER	84	79		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	38		
KEGG_SPHINGOLIPID_METABOLISM	39	36		
KEGG_SPLICEOSOME	127	116		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	28		
KEGG_STEROID_BIOSYNTHESIS	17	16		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	28		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	82		
KEGG_TASTE_TRANSDUCTION	52	24		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15		Rejected!	
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	75		
KEGG_THYROID_CANCER	29	27		
KEGG_TIGHT_JUNCTION	132	120		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	74		
KEGG_TRYPTOPHAN_METABOLISM	40	34		
KEGG_TYPE_II_DIABETES_MELLITUS	47	41		
KEGG_TYPE_I_DIABETES_MELLITUS	43	15		
KEGG_TYROSINE_METABOLISM	42	28		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	93		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	129		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	40		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	89		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	39		
KEGG_VEGF_SIGNALING_PATHWAY	76	64		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	47		
KEGG_VIRAL_MYOCARDITIS	70	46		
KEGG_WNT_SIGNALING_PATHWAY	151	134		
