NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BILANGES_SERUM_RESPONSE_TRANSLATION	34	30		
BILANGES_SERUM_SENSITIVE_GENES	80	73		
BILANGES_SERUM_SENSITIVE_VIA_TSC1	21	18		
BILANGES_SERUM_SENSITIVE_VIA_TSC2	32	26		
BILBAN_B_CLL_LPL_DN	41	32		
BILBAN_B_CLL_LPL_UP	64	58		
BILD_CTNNB1_ONCOGENIC_SIGNATURE	79	74		
BILD_E2F3_ONCOGENIC_SIGNATURE	248	226		
BILD_HRAS_ONCOGENIC_SIGNATURE	252	205		
BILD_MYC_ONCOGENIC_SIGNATURE	209	174		
BILD_SRC_ONCOGENIC_SIGNATURE	59	54		
BLALOCK_ALZHEIMERS_DISEASE_DN	1248		Rejected!	
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	166	149		
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	389	339		
BLALOCK_ALZHEIMERS_DISEASE_UP	1671		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	217	150		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	300		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187	166		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81	57		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	137	105		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	59	48		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144	98		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96	78		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76	54		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	486	327		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	545	379		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77	53		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86	58		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24	13		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	339	233		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14	8		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174	101		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175	160		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	174	105		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	123	78		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	147		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118	100		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41	30		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37	26		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	299	208		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119	82		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	286	209		
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9	5		
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12	10		
BLUM_RESPONSE_TO_SALIRASIB_DN	341	316		
BLUM_RESPONSE_TO_SALIRASIB_UP	245	224		
BOCHKIS_FOXA2_TARGETS	434	366		
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	33	28		
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	31	25		
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN	38	36		
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP	46	44		
BONCI_TARGETS_OF_MIR15A_AND_MIR16_1	92	86		
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN	22	21		
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	31	30		
BONOME_OVARIAN_CANCER_SURVIVAL_OPTIMAL_DEBULKING	237	208		
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	506	450		
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	31	20		
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	427	357		
BOQUEST_STEM_CELL_DN	218	179		
BOQUEST_STEM_CELL_UP	261	210		
