NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING		15	-0.41185522	-1.289152	0.13913043	0.39212954	1.0	2643	tags=53%, list=17%, signal=64%	
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	REACTOME_NUCLEOTIDE_EXCISION_REPAIR		104	-0.25535414	-1.2861472	0.0	0.394773	1.0	2326	tags=31%, list=15%, signal=36%	
REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION	REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION		7	-0.5289141	-1.2852309	0.19111112	0.39432445	1.0	2612	tags=57%, list=17%, signal=69%	
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	REACTOME_GLUCOCORTICOID_BIOSYNTHESIS		8	-0.47546592	-1.2841581	0.20100503	0.3940152	1.0	2807	tags=50%, list=18%, signal=61%	
KEGG_MEDICUS_REFERENCE_NOTCH_MESP2_SIGNALING	KEGG_MEDICUS_REFERENCE_NOTCH_MESP2_SIGNALING		5	-0.57999897	-1.2831552	0.22348484	0.39359245	1.0	1215	tags=20%, list=8%, signal=22%	
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21	MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21		5	-0.5842879	-1.282624	0.23411371	0.39263257	1.0	273	tags=40%, list=2%, signal=41%	
WEBER_METHYLATED_ICP_IN_SPERM_UP	WEBER_METHYLATED_ICP_IN_SPERM_UP		5	-0.5876929	-1.2790376	0.22558923	0.39570275	1.0	6311	tags=100%, list=41%, signal=170%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION		57	-0.2652798	-1.277381	0.05882353	0.3963049	1.0	2533	tags=28%, list=17%, signal=34%	
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES		74	-0.25333804	-1.2751231	0.0	0.39773467	1.0	4262	tags=58%, list=28%, signal=80%	
WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM	WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM		61	-0.23738894	-1.2707468	0.0	0.40224212	1.0	2497	tags=33%, list=16%, signal=39%	
