NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN	HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN		5	0.69779336	1.2469184	0.18741259	0.26987028	1.0	3176	tags=60%, list=21%, signal=76%	
KEGG_MEDICUS_REFERENCE_AMH_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_AMH_SIGNALING_PATHWAY		9	0.61229014	1.2468401	0.19125	0.2699305	1.0	1867	tags=44%, list=12%, signal=51%	
WP_CALORIC_RESTRICTION_AND_AGING	WP_CALORIC_RESTRICTION_AND_AGING		8	0.6244343	1.2467282	0.18101266	0.27005282	1.0	1798	tags=38%, list=12%, signal=42%	
IKEDA_MIR30_TARGETS_DN	IKEDA_MIR30_TARGETS_DN		22	0.5342709	1.2464793	0.17196056	0.27041686	1.0	4354	tags=41%, list=28%, signal=57%	
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP		301	0.4514617	1.2464381	0.004	0.2704046	1.0	2693	tags=24%, list=18%, signal=29%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP		28	0.50856686	1.2462041	0.17951426	0.2707228	1.0	4243	tags=46%, list=28%, signal=64%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4		22	0.52624613	1.2461661	0.18715996	0.27070323	1.0	3568	tags=45%, list=23%, signal=59%	
WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS	WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS		83	0.4650736	1.2459337	0.091	0.27101478	1.0	4246	tags=42%, list=28%, signal=58%	
GOLDRATH_HOMEOSTATIC_PROLIFERATION	GOLDRATH_HOMEOSTATIC_PROLIFERATION		139	0.45779878	1.2459042	0.053	0.27098724	1.0	4566	tags=40%, list=30%, signal=57%	
MCBRYAN_TERMINAL_END_BUD_DN	MCBRYAN_TERMINAL_END_BUD_DN		6	0.6712855	1.2457607	0.19806094	0.27116233	1.0	3815	tags=67%, list=25%, signal=89%	
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_TIR_TO_TLR2_4_MAPK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_TIR_TO_TLR2_4_MAPK_SIGNALING_PATHWAY		5	0.6978813	1.2453936	0.18513323	0.2717156	1.0	4624	tags=100%, list=30%, signal=143%	
